BON Tokyo Asakusa,"Sumida Ward, Tokyo",13 reviews,"PKR 32,756",Double Room with Extra Bed,"2 beds (1 double, 1 sofa bed)",8.5
ELE Hotel Apart Yoshitsuki,"Taito, Tokyo",28 reviews,"PKR 24,130",Superior Twin Room,"3 beds (2 singles, 1 sofa bed)",9
Sakura Cross Hotel Shinjuku East Annex,"Shinjuku Ward, Tokyo",180 reviews,"PKR 24,209",Deluxe Twin Room Max 4 Comfort 2,"2 beds (1 double, 1 futon)",9.1
Hilton Tokyo Odaiba,"Minato, Tokyo","1,180 reviews","PKR 57,227",King Guest Room,1 extra-large double bed,8.3
HOTEL REX Akasaka,"Minato, Tokyo","1,066 reviews","PKR 27,078",Standard Double Room - Smoking,1 double bed,8.8
Hotel Vintage Tokyo,"Chuo Ward, Tokyo",295 reviews,"PKR 28,825",Junior Suite,Private suite,8.7
Hotel East 21 Tokyo,"Koto Ward, Tokyo",486 reviews,"PKR 31,154",Small Single Room - Non-Smoking (2 Adult),1 single bed,8.6
HOTEL MYSTAYS Ueno Iriyaguchi,"Taito, Tokyo","1,638 reviews","PKR 12,811",Standard Double Room - Non-Smoking,1 double bed,7.4
The Gate Hotel Tokyo by Hulic,"Chiyoda, Tokyo","1,112 reviews","PKR 52,430",Standard Double Room - Smoking,1 large double bed,9
Hotel The Celestine Tokyo Shiba,"Minato, Tokyo","2,237 reviews","PKR 42,182",Moderate Double Room - Non-Smoking ,1 double bed,9
Section L Ginza East,"Chuo Ward, Tokyo",84 reviews,"PKR 24,108",Superior Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 25m²,9
APA Hotel Nihombashi Bakuroyokoyama Ekimae,"Chuo Ward, Tokyo",35 reviews,"PKR 15,140",Standard Double Room,1 double bed,7.5
Ueno First City Hotel,"Taito, Tokyo",723 reviews,"PKR 19,776",Double Room - Non-Smoking ,1 double bed,8.4
Nihon Seinenkan Hotel,"Shibuya Ward, Tokyo",830 reviews,"PKR 50,953",Superior Double Room,1 double bed,9.1
GLOU Higashi Shinjuku,"Shinjuku Ward, Tokyo",552 reviews,"PKR 16,489",Small Double Room,1 double bed,8.7
The Royal Park Hotel Iconic Tokyo Shiodome,"Minato, Tokyo","3,421 reviews","PKR 50,371",Economy Double Room,1 double bed,8.8
Hilton Tokyo Hotel,"Shinjuku Ward, Tokyo",650 reviews,"PKR 61,229",King Hilton Room,1 large double bed,8.2
CVS Bay Hotel New Building,Tokyo,114 reviews,"PKR 19,799",Standard Twin Room,2 single beds,8.3
Wires Hotel Shinagawa Seaside,"Shinagawa Ward, Tokyo",49 reviews,"PKR 34,112",Standard Double Room,1 double bed,8
Hatoya Hotel,"Toshima, Tokyo",522 reviews,"PKR 20,963",Twin Room,2 single beds,8.9
Hotel Gracery Ginza,"Chuo Ward, Tokyo",801 reviews,"PKR 35,114",Japanese style double room with small double bed on wooden floor -  Non-Smoking,1 single bed,8.4
GOEN inn Tokyo,"Bunkyo, Tokyo",251 reviews,"PKR 23,584",Family Room,Multiple bed types,9
Sakura Sky Hotel,"Sumida Ward, Tokyo",278 reviews,"PKR 24,562",Comfort Twin Room with Shower,2 single beds,8.4
Artist Hotel - BnA STUDIO Akihabara,"Chiyoda, Tokyo",111 reviews,"PKR 27,584",Superior Studio with Kitchenette ,1 extra-large double bed,8.8
Dormy Inn Express Meguro Aobadai Hot Spring,"Meguro Ward, Tokyo",408 reviews,"PKR 47,121",【Tokyo Residents Only - Check in after 2PM】Double Room - Non-Smoking ,1 double bed,8.4
Mr Kintaro Stay Ueno,"Taito, Tokyo",242 reviews,"PKR 14,849",Quadruple Room,2 double beds,8.4
TOKYO XI SHE Hotel,"Katsushika, Tokyo",90 reviews,"PKR 14,500",Deluxe Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 38m²,8.3
Uno Ueno,"Taito, Tokyo",940 reviews,"PKR 13,102",Double Room with Shared Bathroom,1 double bed,8.5
HIROKI Building,"Ota Ward, Tokyo",77 reviews,"PKR 14,558",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 26m²,7.1
Hotel New Shohei,"Shinjuku Ward, Tokyo",308 reviews,"PKR 32,493",Double Room,1 large double bed,8.2
Petit Grande Miyabi,"Sumida Ward, Tokyo",242 reviews,"PKR 22,710",Double Room with Extra Bed,"2 beds (1 sofa bed, 1 large double)",9
TOMARU MORISITA HOUSE,"Koto Ward, Tokyo",110 reviews,"PKR 24,457",Family Room,4 double beds,7.4
PROSTYLE RYOKAN TOKYO ASAKUSA,"Taito, Tokyo",260 reviews,"PKR 34,939",Double Room,1 double bed,8.9
Guest House One More Heart at TSUKIJI 1,"Chuo Ward, Tokyo",327 reviews,"PKR 20,337",Standard Double Room,1 double bed,8.4
KAIKA TOKYO by THE SHARE HOTELS,"Sumida Ward, Tokyo",421 reviews,"PKR 28,225",Double Room,1 double bed,9.1
Conrad Tokyo,"Minato, Tokyo",410 reviews,"PKR 88,459",Twin Room with City View,2 double beds,8.9
Khaosan Tokyo Laboratory,"Taito, Tokyo",362 reviews,"PKR 12,869",Triple Room,"3 beds (2 singles, 1 bunk bed)",7.9
Villa Ikebukuro,"Toshima, Tokyo",42 reviews,"PKR 27,017",Villa 3,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 52m²,7.6
Residential Hotel IKIDANE Machiya,"Arakawa, Tokyo",609 reviews,"PKR 24,327",Superior Apartment with View D,Entire apartment • 2 bedrooms • 1 bathroom • 50m²,8.9
Four Seasons Hotel Tokyo at Otemachi,"Chiyoda, Tokyo",66 reviews,"PKR 148,295",Superior Imperial Garden View Double,2 double beds,8.8
Hotel New Tohoku,"Taito, Tokyo",459 reviews,"PKR 15,461",Double Room with Small Double Bed,1 single bed,7.6
Odakyu Hotel Century Southern Tower,"Shibuya Ward, Tokyo",641 reviews,"PKR 54,033",Comfort Double Room - Non-Smoking,1 double bed,8.9
Section L Asakusa East,"Sumida Ward, Tokyo",9 reviews,"PKR 18,389",Studio Apartment,Entire apartment • 1 bedroom • 1 bathroom • 25m²,8.3
Aloft Tokyo Ginza,"Chuo Ward, Tokyo",4 reviews,"PKR 48,210","Aloft King, Guest room, 1 King",1 large double bed,9
Shitamachi Base,"Sumida Ward, Tokyo",25 reviews,"PKR 17,979",Apartment with Loft [103],Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 15m²,8.4
New Bridge 579,"Minato, Tokyo",15 reviews,"PKR 17,033",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 15m²,8
Sakura Hotel Hatagaya,"Shibuya Ward, Tokyo",509 reviews,"PKR 32,365",Double Room,1 double bed,7.5
Ostay UENO Hotel Apartment,"Taito, Tokyo",340 reviews,"PKR 21,429",Deluxe Double Room,1 double bed,8.2
Keio Plaza Hotel Tokyo,"Shinjuku Ward, Tokyo","3,141 reviews","PKR 77,530",Standard Double Room - Smoking,1 double bed,8.4
Hotel Trusty Premier Nihonbashihamacho,"Chuo Ward, Tokyo",188 reviews,"PKR 33,483",Double Room - Non-Smoking ,1 double bed,8.8
Belmont Hotel,"Taito, Tokyo",551 reviews,"PKR 20,963",Twin Room - Smoking,2 single beds,7.6
"InterContinental Tokyo Bay, an IHG Hotel","Minato, Tokyo",778 reviews,"PKR 71,104",Standard Double or Twin Room,Beds: 1 double or 2 singles,8.8
Hotel Il Fiore Kasai,"Edogawa, Tokyo","1,716 reviews","PKR 33,627",Economy Double Room - Non-Smoking,1 double bed,8.5
Hotel Vintage Kagurazaka Tokyo,"Shinjuku Ward, Tokyo",91 reviews,"PKR 41,550",Standard Room,2 double beds,8.9
Minn Kamata,"Ota Ward, Tokyo",34 reviews,"PKR 25,476",Standard Double Room,1 double bed,8.7
HOTEL VARKIN ANNEX,"Toshima, Tokyo",124 reviews,"PKR 48,740",Standard Double Room,1 large double bed,8.5
LANDABOUT TOKYO,"Taito, Tokyo","1,193 reviews","PKR 29,742",Compact Double Room,1 double bed,8.9
Myoujin-no-Yu Dormy Inn Premium Kanda,"Chiyoda, Tokyo",778 reviews,"PKR 28,768",Double Room - Non-Smoking - No Daily Cleaning,1 double bed,8.9
Toyoko Inn Tokyo Asakusa Kuramae No.2,"Taito, Tokyo",8 reviews,"PKR 24,749",Economy Double Room - Smoking,1 double bed,7.6
Oakwood Premier Tokyo,"Chiyoda, Tokyo",477 reviews,"PKR 100,438",Superior Studio,Entire studio • 1 bathroom • 33m²,9.1
Hotel Lumiere Kasai,"Edogawa, Tokyo","1,199 reviews","PKR 23,048",Economy Double Room - Non-Smoking,1 double bed,8.2
Himalaya Cloud Hotel,"Shibuya Ward, Tokyo",201 reviews,"PKR 40,762",Deluxe King Room,1 extra-large double bed,8.6
Courtyard by Marriott Tokyo Station,"Chuo Ward, Tokyo",163 reviews,"PKR 67,426",Creators Double Room,1 extra-large double bed,7.7
S'CASA NishiShinjuku,"Shibuya Ward, Tokyo",60 reviews,"PKR 31,445",Studio with Balcony,Entire studio • 1 bathroom • 50m²,8.2
LY INN Ryogoku Annex,"Sumida Ward, Tokyo",215 reviews,"PKR 17,470",Family Room,"6 beds (3 singles, 1 double, 2 sofa beds)",8.6
Akihabara Nakagawa Inn,"Taito, Tokyo",174 reviews,"PKR 20,375",Family Room,2 futon beds,8.5
&AND HOSTEL AKIHABARA,"Chiyoda, Tokyo","1,093 reviews","PKR 43,674",Standard Double Room,1 double bed,8.2
The Gate Hotel Ryogoku by Hulic,"Sumida Ward, Tokyo",43 reviews,"PKR 47,124",Standard Hollywood Twin Room - Non-Smoking,2 single beds,9.2
Gamadas BLD,"Ota Ward, Tokyo",Null,"PKR 26,379",Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 45m²,Null
Hyatt Regency Tokyo Bay,"Urayasu, Tokyo",186 reviews,"PKR 53,334",Twin Room,"3 beds (2 singles, 1 sofa bed)",9
Andon Ryokan,"Taito, Tokyo",266 reviews,"PKR 30,892",Japanese-Style Double Room with Shared Bathroom,1 futon bed,8.6
Shiba Park Hotel,"Minato, Tokyo","1,933 reviews","PKR 39,551",Standard Twin Room (Annex Building) - Non-Smoking,2 single beds,8.6
Grand Prince Hotel Shin Takanawa,"Minato, Tokyo","1,219 reviews","PKR 66,585",Standard Triple Room Non-Smoking ,"3 beds (2 singles, 1 sofa bed)",8.5
α One More Heart,"Chuo Ward, Tokyo",427 reviews,"PKR 78,147",Double Room,1 double bed,8.2
Hotel New Otani Tokyo Garden Tower,"Chiyoda, Tokyo","1,263 reviews","PKR 101,982",Standard Double or Twin Room,Beds: 1 double or 2 singles,8.8
Grand Hyatt Tokyo,"Minato, Tokyo",346 reviews,"PKR 91,173",King Room,1 extra-large double bed,8.7
The Prince Park Tower Tokyo,"Minato, Tokyo","1,694 reviews","PKR 89,003",Standard Twin Room - Non-Smoking,2 single beds,9
Hotel Yaenomidori Tokyo,"Chuo Ward, Tokyo",215 reviews,"PKR 31,300",Small Double Room,1 double bed,9.1
HOTEL APERTO (Adult Only),"Toshima, Tokyo",135 reviews,"PKR 36,931",Standard Double Room,1 extra-large double bed,8.8
Palace Hotel Tokyo,"Chiyoda, Tokyo",280 reviews,"PKR 166,880",Deluxe King Room,1 extra-large double bed,9.4
Theater Zzz,"Sumida Ward, Tokyo",201 reviews,"PKR 14,674",Tent,Tent,8.5
CVS Bay Hotel,Tokyo,81 reviews,"PKR 16,014",Double Room - Non-Smoking ,1 double bed,7.5
"Fraser Suites Akasaka, Tokyo","Minato, Tokyo",50 reviews,"PKR 52,845",Deluxe Room,1 extra-large double bed,9.2
intheHood: Tsukiji,"Chuo Ward, Tokyo",8 reviews,"PKR 15,653",Standard Apartment,Entire apartment • 1 bedroom • 1 bathroom • 25m²,8.6
Ryokan & Day Shizuku,"Adachi Ward, Tokyo",438 reviews,"PKR 36,686",Standard King Room,1 large double bed,8.8
HOTEL SUI KANDA by ABEST,"Chiyoda, Tokyo","1,858 reviews","PKR 13,684",Standard Double Room - Non-Smoking,1 double bed,8.6
Sakura Hostel Asakusa,"Taito, Tokyo",494 reviews,"PKR 24,108",Twin Room with Shared Bathroom,2 single beds,8.4
"Cerulean Tower Tokyu Hotel, A Pan Pacific Partner Hotel","Shibuya Ward, Tokyo","1,220 reviews","PKR 102,856",Double Room - Non-Smoking ,1 double bed,9
THE LIVELY AZABUJUBAN TOKYO,"Minato, Tokyo",417 reviews,"PKR 69,878",Standard Double Room,1 double bed,9
SOLA HOTEL,"Sumida Ward, Tokyo",236 reviews,"PKR 41,578",Double Room,1 double bed,9.6
Restay Frontier (Adult Only),"Toshima, Tokyo",741 reviews,"PKR 24,603",Economy Double Room,1 double bed,8.4
Shinjuku & Shibuya Happy Louis House,"Setagaya, Tokyo",4 reviews,"PKR 24,519",Classic Triple Room,"2 beds (1 double, 1 sofa bed)",8.2
B:CONTE Asakusa,"Taito, Tokyo",451 reviews,"PKR 43,153",Standard Double Room - Non-Smoking,1 double bed,9.2
Shinjuku Sky hostel,"Shinjuku Ward, Tokyo",550 reviews,"PKR 11,646",Female Only Double Room with Shared Bathroom,1 double bed,7.2
Hotel Arca Torre Roppongi,"Minato, Tokyo",146 reviews,"PKR 26,204",Standard Double Room - Smoking,1 large double bed,8.1
PLAYSIS Asakusa,"Sumida Ward, Tokyo",270 reviews,"PKR 27,485",Quadruple Room with Shower,4 bunk beds,8.1
Hotel Edoya,"Bunkyo, Tokyo",704 reviews,"PKR 35,143",Standard Twin Room,2 futon beds,8
Hotel SAILS,"Taito, Tokyo",766 reviews,"PKR 22,710",Triple Room with Balcony (3 Adult),3 single beds,9.1
"The Strings by InterContinental, Tokyo, an IHG Hotel","Minato, Tokyo",330 reviews,"PKR 85,049",Deluxe King Room,1 extra-large double bed,9
U-Hotel Takadanobaba,"Shinjuku Ward, Tokyo",58 reviews,"PKR 18,500",Deluxe Triple Room,3 single beds,8.3
MIMARU TOKYO UENO EAST,"Taito, Tokyo",869 reviews,"PKR 78,613",Japanese Apartment,"4 beds (2 singles, 2 futons)",8.9
Park Hotel Tokyo,"Minato, Tokyo","1,770 reviews","PKR 84,436",Queen Room - Non-Smoking,1 large double bed,8.9
Ueno Terminal Hotel,"Taito, Tokyo",199 reviews,"PKR 25,590",Twin Room,2 single beds,7.3
Richmond Hotel Premier Asakusa International,"Taito, Tokyo","4,854 reviews","PKR 42,451",Standard Double Room - Smoking,1 double bed,9
Hotel Mid In Kuramae Ekimae,"Taito, Tokyo",Null,"PKR 38,893",Double Room,1 double bed,Null
HOTEL GRANHILL (Adult Only),"Toshima, Tokyo",266 reviews,"PKR 46,003",Standard Double Room,1 large double bed,8.5
RoNa Hotel,"Shinjuku Ward, Tokyo",12 reviews,"PKR 25,459",Deluxe Triple Room,3 single beds,9.5
The Westin Tokyo,"Meguro Ward, Tokyo",313 reviews,"PKR 99,049","Deluxe Room, Guest room, 1 King",1 extra-large double bed,8.6
Meguroholic Hotel 16th March 2020 Rebrand Opening,"Meguro Ward, Tokyo",49 reviews,"PKR 39,307",Economy Double Room - Non-Smoking,1 double bed,7.7
HOTEL & SPA J-MEX Shinjuku Kabukicho (Adult Only),"Shinjuku Ward, Tokyo",182 reviews,"PKR 59,274",Standard Queen Room,1 large double bed,8.9
Sakura Cross Hotel Ueno Iriya,"Taito, Tokyo",406 reviews,"PKR 16,035",Twin Room with Sofa Bed,"3 beds (2 singles, 1 sofa bed)",8.3
Hotel Yamayuri,"Taito, Tokyo",237 reviews,"PKR 17,470",Double Room -Non-Smoking,1 double bed,7.4
Hotel Chinzanso Tokyo,"Bunkyo, Tokyo",553 reviews,"PKR 113,762",Premier King Room with City View,1 extra-large double bed,9.2
THE KITANO HOTEL TOKYO,"Chiyoda, Tokyo",330 reviews,"PKR 100,450",Superior King Room,1 extra-large double bed,9.2
Imperial Hotel Tokyo,"Chiyoda, Tokyo",879 reviews,"PKR 96,925",Run of House Double Room,1 large double bed,9.2
Smi:re Stay Oshiage,"Sumida Ward, Tokyo",335 reviews,"PKR 22,710",Family Room,"4 beds (3 singles, 1 double)",9
Hotel SAILS Asakusa,"Taito, Tokyo",14 reviews,"PKR 33,699",Deluxe Triple Room,3 single beds,9.3
Domo Hotel,"Shinjuku Ward, Tokyo",337 reviews,"PKR 18,925",Standard Twin Room,2 single beds,8.7
GIVE Araiyakushi,"Nakano, Tokyo",34 reviews,"PKR 15,140",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 23m²,9.2
Sakura Ryokan Asakusa Iriya,"Taito, Tokyo",400 reviews,"PKR 25,366",Japanese-Style Twin Room with Shared Toilet - Non-Smoking,2 futon beds,8.2
K&K Apartment Kita-Akabane #301,"Kita, Tokyo",Null,"PKR 21,400",Superior Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 33m²,Null
K&K Apartment Kita-Akabane #301,"Kita, Tokyo",Null,"PKR 21,400",Superior Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 33m²,Null
Book Tea Bed SHINJUKU-GYOEN,"Shinjuku Ward, Tokyo",361 reviews,"PKR 58,232",Standard Double Room,1 double bed,8.1
PLAYSIS East Tokyo,"Sumida Ward, Tokyo",777 reviews,"PKR 41,927",Comfort Quadruple Room,"3 beds (1 double, 2 sofa beds)",8.7
The Okura Tokyo,"Minato, Tokyo",69 reviews,"PKR 176,152",[Prestige] King Room with View Bath - Upper Floor,1 extra-large double bed,8.9
HOTEL AN Shinjuku Kabukicho (Adult Only),"Shinjuku Ward, Tokyo",95 reviews,"PKR 59,536",Standard Queen Room,1 large double bed,8.7
nestay inn tokyo kagurazaka 02,"Shinjuku Ward, Tokyo",34 reviews,"PKR 18,389",Apartment,Private apartment • 1 bedroom • 1 bathroom • 18m²,7.6
FUSION HOTEL ASAKUSA,"Taito, Tokyo",32 reviews,"PKR 42,800",Superior Work Room with Two Double Beds - Non-Smoking (6 adults),"4 beds (2 doubles, 2 futons)",9.2
Turn Table Hostel,"Shibuya Ward, Tokyo",724 reviews,"PKR 80,069",Twin Room - Non-Smoking,2 single beds,8.5
Nagomi House,"Taito, Tokyo",6 reviews,"PKR 17,470",Apartment,Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 50m²,7.8
Four Seasons Hotel Tokyo at Marunouchi,"Chiyoda, Tokyo",111 reviews,"PKR 148,295",Deluxe King Room with City View,1 extra-large double bed,8.7
The Peninsula Tokyo,"Chiyoda, Tokyo",566 reviews,"PKR 132,594",Deluxe King Room,1 extra-large double bed,9.1
OYO Hotel New Washington Shibuya,"Shibuya Ward, Tokyo",711 reviews,"PKR 48,041",Twin Room - Non-Smoking,2 single beds,7.2
HIZ HOTEL Ginza,"Chuo Ward, Tokyo",24 reviews,"PKR 30,572",Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 40m²,8
The Sorapia Tokyo,"Sumida Ward, Tokyo",173 reviews,"PKR 20,177",Apartment with Balcony,Entire apartment • 1 bedroom • 1 bathroom • 28m²,8
MIMARU TOKYO AKASAKA,"Minato, Tokyo",599 reviews,"PKR 78,613",Japanese Apartment,"4 beds (2 singles, 2 futons)",9.1
MOXY Tokyo Kinshicho by Marriott,"Sumida Ward, Tokyo",170 reviews,"PKR 51,918",Twin Room with Two Twin Beds,"2 beds (1 extra-large double, 1 sofa bed)",8.2
Tokyo Marriott Hotel,"Shinagawa Ward, Tokyo",142 reviews,"PKR 58,998",Deluxe King or Twin Room,1 extra-large double bed,8.2
The Millennials Shibuya,"Shibuya Ward, Tokyo","2,721 reviews","PKR 59,764",2 Adjacent Smart Capsules - Male/Female Mixed,Shared dormitory room,9.1
Cozy Inn 東京桜新町,"Setagaya, Tokyo",147 reviews,"PKR 45,596",Standard Twin Room with Shared Bathroom,2 single beds,8.3
"The Ritz-Carlton, Tokyo","Minato, Tokyo",194 reviews,"PKR 175,983",Deluxe King ,1 extra-large double bed,9
僑日ホテル KYONICHI Hotel Shinjuku,"Shinjuku Ward, Tokyo",6 reviews,"PKR 36,208",Standard Double Room,1 double bed,8.7
HOTEL THE HOTEL SHINJUKU (Adult Only),"Shinjuku Ward, Tokyo",77 reviews,"PKR 46,294",Double Room - Smoking - Check-in 15:00 - Check-out 12:00,1 double bed,7.1
Hotel New Otani Tokyo The Main,"Chiyoda, Tokyo",726 reviews,"PKR 142,775",Standard Double Room - Non-Smoking,1 extra-large double bed,8.8
Ryokan Asakusa Shigetsu,"Taito, Tokyo",704 reviews,"PKR 47,168",Economy Japanese-Style Twin Room (SAKURA) - Non-Smoking,2 futon beds,9.1
Hotel Tateshina,"Shinjuku Ward, Tokyo",58 reviews,"PKR 28,248",Double Room - Non-Smoking ,1 double bed,7.2
Akasaka Residence II5,"Minato, Tokyo",8 reviews,"PKR 26,204",Standard Family Room,"2 beds (1 double, 1 futon)",7.8
bmj Shinjuku Okubo,"Shinjuku Ward, Tokyo",54 reviews,"PKR 33,301",Budget Double Room,1 single bed,9
"Kimpton Shinjuku Tokyo, an IHG Hotel","Shinjuku Ward, Tokyo",7 reviews,"PKR 92,865",Premium King Room,1 extra-large double bed,7.7
Hotel Listel Shinjuku,"Shinjuku Ward, Tokyo","1,395 reviews","PKR 18,052",Semi Double Room,1 double bed,7.7
Tokyo Sakurako Hatchobori,"Chuo Ward, Tokyo",59 reviews,"PKR 32,391",Twin Room,2 single beds,8.9
Hotel Allamanda Aoyama Tokyo,"Minato, Tokyo",427 reviews,"PKR 91,322",Classical Double Room - Non-Smoking,1 large double bed,8.6
Ryokan Katsutaro,"Taito, Tokyo",329 reviews,"PKR 20,963",Double Room with Shared Bathroom B,1 futon bed,8.2
MIMARU TOKYO UENO NORTH,"Taito, Tokyo",447 reviews,"PKR 75,338",Family Apartment,Private apartment • 1 bedroom • 1 bathroom • 34m²,8.9
宿坊 正伝寺 Temple hotel Shoden-ji,"Minato, Tokyo",16 reviews,"PKR 49,497",Apartment with Shower,Private apartment • 1 bedroom • 1 living room • 1 bathroom • 48m²,8.3
TRUNK (HOTEL),"Shibuya Ward, Tokyo",248 reviews,"PKR 107,343",Standard Double Room,1 double bed,9
Sea-Pro,"Arakawa, Tokyo",150 reviews,"PKR 31,096",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 30m²,7.8
Asakusa Eight -Tokyo Condominium Hotel-,"Taito, Tokyo",149 reviews,"PKR 32,231",Family Suite,"8 beds (2 doubles, 4 bunk beds, 2 futons)",9
Etranger Kaname Cho,"Toshima, Tokyo",14 reviews,"PKR 50,918",Three-Bedroom Apartment,Entire apartment • 3 bedrooms • 1 living room • 1 bathroom • 82m²,8.9
Real Life Meguro River,"Setagaya, Tokyo",33 reviews,"PKR 61,144",Deluxe Apartment,Private apartment • 1 bedroom • 1 living room • 1 bathroom • 40m²,9.2
bnb+ Asakusa Kuramae,"Taito, Tokyo",214 reviews,"PKR 14,558",Economy Double or Twin Room,2 futon beds,8.2
"The Prince Gallery Tokyo Kioicho, a Luxury Collection Hotel","Chiyoda, Tokyo",351 reviews,"PKR 131,689",Deluxe King Room - Non-Smoking,1 extra-large double bed,9.3
MIMARU TOKYO ASAKUSA STATION,"Taito, Tokyo",5 reviews,"PKR 62,063",Family Apartment,"3 beds (2 singles, 1 bunk bed)",9.2
The Capitol Hotel Tokyu,"Chiyoda, Tokyo",357 reviews,"PKR 127,068",Deluxe King Room - Non-Smoking,1 extra-large double bed,9.3
Stay SAKURA Tokyo Shinjuku Hyaku Kura,"Shinjuku Ward, Tokyo",160 reviews,"PKR 28,839",Economy Room with Bunk Bed,2 bunk beds,8.5
"The Tokyo EDITION, Toranomon","Minato, Tokyo",11 reviews,"PKR 151,204","Deluxe, Guest room, 2 Queen, City view",2 large double beds,7.9
"mesm Tokyo, Autograph Collection","Minato, Tokyo",Null,"PKR 138,224",chapter 1 King,1 extra-large double bed,Null
First sight hut house,"Edogawa, Tokyo",5 reviews,"PKR 43,394",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 96m²,9.4
Azabu Ten Tokyo,"Minato, Tokyo",151 reviews,"PKR 117,192",Superior Twin Room,Multiple bed types,9.3
Urayasu House & Disney Area,"Urayasu, Tokyo",20 reviews,"PKR 43,143",Four-Bedroom House,Entire holiday home • 4 bedrooms • 1 living room • 1 bathroom • 180m²,9
Ochanomizu Hotel Shoryukan,"Chiyoda, Tokyo",68 reviews,"PKR 35,230",Double Room with Small Double Bed - Smoking,1 single bed,9
Ascott Marunouchi Tokyo,"Chiyoda, Tokyo",575 reviews,"PKR 123,306",Studio,Entire studio • 1 bathroom • 40m²,9.3
The 3rd Residential Suite SHIROKANE,"Minato, Tokyo",8 reviews,"PKR 65,220",Three-Bedroom Apartment,Entire apartment • 3 bedrooms • 1 bathroom • 58m²,8.1
American Vintage Suite,"Sumida Ward, Tokyo",Null,"PKR 232,928",Three-Bedroom Apartment,Entire apartment • 3 bedrooms • 1 living room • 2 bathrooms • 165m²,Null
bnb+ Kanda Terrace Ogawamachi,"Chiyoda, Tokyo",465 reviews,"PKR 29,116",Quadruple Room with Shared Bathroom,2 bunk beds,8.5
IBASHO ShibuyaDogenzaka810,"Shibuya Ward, Tokyo",38 reviews,"PKR 23,293",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 20m²,9.1
コンドミニアムホテル 渋谷GOTEN Condominium Hotel Shibuya GOTEN,"Setagaya, Tokyo",11 reviews,"PKR 122,287",Three-Bedroom Apartment,Entire apartment • 3 bedrooms • 1 living room • 2 bathrooms • 87m²,9.7
GATE STAY Uenohirokoji Yushima,"Bunkyo, Tokyo",15 reviews,"PKR 43,674",Deluxe Double Room,1 double bed,9.2
GATE STAY Akihabara East,"Taito, Tokyo",23 reviews,"PKR 36,778",Deluxe Twin Room,2 single beds,9.2
IBASHO ShibuyaDogenzaka803,"Shibuya Ward, Tokyo",27 reviews,"PKR 29,116",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 20m²,9
Mitsui Garden Hotel Kyobashi,"Chuo Ward, Tokyo","1,558 reviews","PKR 26,350",Moderate Double Room - Non-Smoking ,1 double bed,8.6
APA Hotel Asakusa Kaminarimon Minami,"Taito, Tokyo",3 reviews,"PKR 15,937",Standard Double Room,1 double bed,8.7
Kyoka House,"Nerima Ward, Tokyo",78 reviews,"PKR 20,341",Triple Room with Shared Bathroom,"4 beds (1 extra-large double, 3 futons)",7.1
Hotel Wing International Select Ikebukuro,"Toshima, Tokyo",971 reviews,"PKR 15,905",Small Double Room - Non-Smoking,1 single bed,8.7
Keio Presso Inn Tokyo Station Yaesu,"Chuo Ward, Tokyo",382 reviews,"PKR 23,060",Double Room - Non-Smoking ,1 double bed,8
OYO Hotel Urban Stays Asakusa,"Sumida Ward, Tokyo",605 reviews,"PKR 19,508",Double Room with Small Double Bed - Non-Smoking,1 double bed,8.6
Mitsui Garden Hotel Ginza Premier,"Chuo Ward, Tokyo","1,641 reviews","PKR 25,735",Moderate Room - Smoking ,1 single bed,8.7
Keio Presso Inn Ikebukuro,"Toshima, Tokyo",707 reviews,"PKR 15,880",Double Room with Small Double Bed - Non-Smoking,1 single bed,8.2
Ryokan Ichinao,"Shinjuku Ward, Tokyo",280 reviews,"PKR 11,033",Triple Room,3 futon beds,7.1
Keio Presso Inn Kanda,"Chiyoda, Tokyo",125 reviews,"PKR 15,723",Double Room with Small Double Bed - Smoking,1 single bed,7.9
Grand Central Hotel,"Chiyoda, Tokyo","2,066 reviews","PKR 14,150",Double Room - Smoking,1 large double bed,8
APA Hotel Tokyo Kiba,"Koto Ward, Tokyo",841 reviews,"PKR 15,140",Double Room with Small Double Bed - Smoking,1 single bed,6.9
Super Hotel Tokyo JR Kamata Nishiguchi,"Ota Ward, Tokyo",135 reviews,"PKR 20,381",Double Room - Non-Smoking ,1 double bed,8.7
